CodPuntoControl,Latitud,Longitud,Nombre
01M02,37.91361111111111,-1.1191666666666666,Relojero
06A01,37.72067777777778,-0.9145527777777778,La Puebla
06A02,37.72390277777778,-0.9794083333333333,Pozo Estrecho
06A03,37.72131111111111,-1.0492111111111113,Rbla Albujon
06A04,37.72585277777778,-1.10995,El Estrecho
06A05,37.72470833333333,-1.1722166666666667,Fuente Alamo
06A06,37.75401111111111,-1.1445944444444445,Los Cegarras
06A18,37.716261111111116,-0.8610694444444444,Desemboc Rbla Albujon
06A19,37.795249999999996,-0.9415638888888889,La Marana
06P02,37.74916666666667,-0.9922222222222221,Torre Pacheco
06P04,37.82694444444445,-1.2108333333333332,La Murta
06P05,37.83583333333333,-0.8758333333333334,San Javier
06B01,37.717463, -0.860090,Elevacion El Albujon
